0,600795-601985,601288-601988,603296-002252,601633-603296,601669-603296,600026-603296,600132-603296,601618-601669,601328-603296,603296-000157,Total
2019-10-25,8429.371517950138,9421.97435320585,,,,,,2288.000000000002,,,
2019-10-28,8474.520771681482,9411.84311961005,,,,,,2302.2000000000016,,,
2019-10-29,8451.94614481581,9431.318185226848,,,,,,2300.9000000000015,,,
2019-10-30,8429.371517950138,9421.449418822647,,,,,,6719.600000000001,,,
2019-10-31,8406.796891084468,9411.71188601425,,,,,,6685.400000000002,,,
2019-11-01,8429.371517950138,9391.97435320585,,,,,,6702.500000000002,,,
2019-11-04,8429.371517950138,9401.84311961005,,,,,,6702.500000000002,,,
2019-11-05,8451.94614481581,5691.974353205849,,,,,,6736.700000000002,,,
2019-11-06,8429.371517950138,5672.236820397451,,,,,,6685.400000000002,,,
2019-11-07,8429.371517950138,5691.974353205849,,,,,,6668.300000000002,,,
2019-11-08,8406.796891084468,5741.318185226848,,,,,,6651.200000000003,,,
2019-11-11,8339.073010487453,5800.530783652044,,,,,,6548.600000000002,,,
2019-11-12,8271.349129890437,5790.662017247845,,,,,,6531.500000000002,,,
2019-11-13,8203.625249293422,5780.793250843646,,,,,,6480.200000000002,,,
2019-11-14,8181.050622427751,5790.662017247845,,,,,,6497.300000000002,,,
2019-11-15,8113.326741830736,5780.793250843646,,,,,,6411.800000000002,,,
2019-11-18,8226.199876159095,5761.055718035246,,,,,,6428.9000000000015,,,
2019-11-19,8226.199876159095,5751.186951631047,,,,,,6463.100000000001,,,
2019-11-20,8135.901368696407,5770.924484439445,,,,,,6411.800000000002,,,
2019-11-21,8158.475995562079,5761.055718035246,,,,,,6446.000000000002,,,
2019-11-22,8181.050622427751,5751.186951631047,,,,,,6514.400000000002,,,
2019-11-25,8271.349129890437,5711.711886014249,,,,,,6668.300000000002,,,
2019-11-26,8293.923756756109,5711.711886014249,,,,,,6582.800000000002,,,
2019-11-27,8271.349129890437,5691.974353205849,,,,,,6548.600000000002,,,
2019-11-28,8248.774503024764,5711.711886014249,,,,,,6582.800000000002,,,
2019-11-29,8248.774503024764,5731.449418822647,,,,,,6582.800000000002,,,
2019-12-02,8293.923756756109,5731.449418822647,,,,,,6565.700000000002,,,
2019-12-03,3103.7509366461327,5721.580652418448,,,,,,6565.700000000002,,,
2019-12-04,3184.80356822508,5741.318185226848,,,,,,6565.700000000002,,,
2019-12-05,3195.856199804027,5731.449418822647,,,,,,6599.9000000000015,,,
2019-12-06,3246.908831382975,5741.318185226848,,,,,,6617.000000000002,,,
2019-12-09,3255.856199804027,5741.318185226848,,,,,,6668.300000000002,,,
2019-12-10,3235.856199804027,5741.318185226848,,,,,,6634.100000000002,,,
2019-12-11,3286.908831382975,5741.318185226848,,,,,,6634.100000000002,,,
2019-12-12,-1568.8806423012365,5741.318185226848,,,,,,6599.9000000000015,,,
2019-12-13,-1632.0385370380782,5691.974353205849,,,,,,6668.300000000002,,,
2019-12-16,-1674.1438001959732,5711.711886014249,,,,,,6685.400000000002,,,
2019-12-17,-1737.3016949328148,5691.974353205849,,,,,,6753.800000000001,,,
2019-12-18,-1737.3016949328148,5672.236820397451,,,,,,6719.600000000001,,,
2019-12-19,-1737.3016949328148,5662.368053993252,,,,,,6736.700000000002,,,
2019-12-20,-1779.406958090709,5642.630521184852,,,,,,6719.600000000001,,,
2019-12-23,-1695.1964317749198,5662.368053993252,,,,,,6634.100000000002,,,
2019-12-24,-1716.2490633538673,5672.236820397451,,,,,,6668.300000000002,,,
2019-12-25,-1737.3016949328148,5682.10558680165,,,,,,6634.100000000002,,,
2019-12-26,-1737.3016949328148,5642.630521184852,,,,,,6685.400000000002,,,
2019-12-27,-1716.2490633538673,5622.892988376454,,,,,,6719.600000000001,,,
2019-12-30,-1737.3016949328148,5632.761754780653,,,,,,6753.800000000001,,,
2019-12-31,-1779.406958090709,5662.368053993252,,,,,,6788.000000000002,,,
2020-01-02,-1821.512221248604,5622.892988376454,,,,,,6873.500000000002,,,
2020-01-03,-1800.4595896696574,5632.761754780653,,,,,,6856.4000000000015,,,
2020-01-06,-1779.406958090709,5662.368053993252,,,,,,6839.300000000002,,,
2020-01-07,-1821.512221248604,5632.761754780653,,,,,,6856.4000000000015,,,
2020-01-08,-1800.4595896696574,5662.368053993252,,,,,,6753.800000000001,,,
2020-01-09,-1800.4595896696574,5672.236820397451,,,,,,6805.100000000002,,,
2020-01-10,-1779.406958090709,5672.236820397451,,,,,,6770.9000000000015,,,
2020-01-13,-1737.3016949328148,5672.236820397451,,,,,,6805.100000000002,,,
2020-01-14,-1737.3016949328148,5672.236820397451,,,,,,6822.200000000002,,,
2020-01-15,-1716.2490633538673,5701.84311961005,,,,,,6770.9000000000015,,,
2020-01-16,-1674.1438001959732,5741.318185226848,,,,,,6770.9000000000015,,,
2020-01-17,-1674.1438001959732,5731.449418822647,,,,,,6770.9000000000015,,,
2020-01-20,-1674.1438001959732,5731.449418822647,,,,,,6770.9000000000015,,,
2020-01-21,-1632.0385370380782,5770.924484439445,,,,,,6753.800000000001,,,
2020-01-22,-1610.9859054591298,5780.793250843646,,,,,,6736.700000000002,,,
2020-01-23,-1526.7753791433415,5830.137082864643,,,,,,6599.9000000000015,,,
2020-02-03,-1084.6701159854456,5978.168578927634,,,,,,6138.200000000002,,,
2020-02-04,-1189.9332738801832,5928.824746906637,,,,,,6104.000000000002,,,
2020-02-05,-1253.0911686170248,5928.824746906637,,,,,,6138.200000000002,,,
